snapshot_date,skill_name,demand_count,demand_pct,median_days_open,salary_premium_pct,repost_rate_pct,scarcity_score,year,day,month
2026-07-12,Docker,301,10.9,0.0,-28.6,13.0,24.6,2026,12,July
2026-07-12,Elasticsearch,34,1.2,0.0,-50.0,17.2,21.8,2026,12,July
2026-07-12,Excel,24,0.9,0.0,115.5,7.5,44.2,2026,12,July
2026-07-12,Figma,20,0.7,,,0.0,0.0,2026,12,July
2026-07-12,Fine-tuning,17,0.6,0.0,,0.0,0.0,2026,12,July
2026-07-12,Fivetran,20,0.7,,,0.0,0.0,2026,12,July
2026-07-12,Flink,15,0.5,,,0.0,0.0,2026,12,July
2026-07-12,GCP,470,17.0,0.0,-2.6,13.2,40.3,2026,12,July
2026-07-12,Git,260,9.4,0.0,-33.3,16.7,24.6,2026,12,July
2026-07-12,Go,28,1.0,1.0,-49.4,10.2,43.8,2026,12,July
2026-07-12,Grafana,56,2.0,0.0,-23.8,11.8,27.8,2026,12,July
2026-07-12,Helm,109,4.0,0.0,-20.1,18.9,39.3,2026,12,July
2026-07-12,Incident Response,105,3.8,2.0,-20.1,0.9,58.1,2026,12,July
2026-07-12,Java,151,5.5,0.0,-18.1,9.3,33.4,2026,12,July
2026-07-12,JavaScript,40,1.5,0.0,-27.7,17.7,33.1,2026,12,July
2026-07-12,Jira,23,0.8,0.0,-24.1,4.3,22.2,2026,12,July
2026-07-12,Kafka,49,1.8,1.0,-28.6,12.8,54.2,2026,12,July
2026-07-12,Kotlin,20,0.7,1.0,,0.0,46.2,2026,12,July
2026-07-12,Kubernetes,728,26.4,0.0,-30.0,14.2,25.8,2026,12,July
2026-07-12,Linux,341,12.4,0.0,-19.2,15.6,38.3,2026,12,July
2026-07-12,LLMs / GenAI,64,2.3,0.0,36.4,14.6,49.2,2026,12,July
2026-07-12,Machine Learning,115,4.2,0.0,30.6,2.3,36.6,2026,12,July
2026-07-12,MLflow,11,0.4,16.0,,0.0,60.4,2026,12,July
2026-07-12,MongoDB,59,2.1,0.0,,3.9,13.4,2026,12,July
2026-07-12,Oracle,18,0.7,,,0.0,0.0,2026,12,July
2026-07-12,Penetration Testing,16,0.6,,,0.0,0.0,2026,12,July
2026-07-12,PostgreSQL,49,1.8,0.0,-44.5,10.0,14.1,2026,12,July
2026-07-12,Prometheus,51,1.8,0.0,-28.6,10.7,22.6,2026,12,July
2026-07-12,Pulumi,37,1.3,2.0,-33.3,19.2,61.2,2026,12,July
2026-07-12,Python,423,15.3,0.0,-19.5,20.6,41.6,2026,12,July
2026-07-12,React,47,1.7,0.0,11.7,8.4,37.7,2026,12,July
2026-07-12,REST API,15,0.5,0.0,,23.6,36.0,2026,12,July
2026-07-12,Ruby,32,1.2,9.0,-63.3,16.7,58.7,2026,12,July
2026-07-12,Rust,16,0.6,2.0,-31.4,2.4,49.0,2026,12,July
2026-07-12,Salesforce,20,0.7,,-18.3,0.0,35.2,2026,12,July
2026-07-12,Segment,10,0.4,0.0,110.7,26.0,57.3,2026,12,July
2026-07-12,Snowflake,11,0.4,2.0,31.7,2.9,73.1,2026,12,July
2026-07-12,SOC 2,20,0.7,50.0,100.0,0.0,72.8,2026,12,July
2026-07-12,Spark,40,1.5,1.0,-25.9,27.6,67.0,2026,12,July
2026-07-12,Spring,16,0.6,0.0,9.9,0.0,25.5,2026,12,July
2026-07-12,SQL,117,4.2,0.0,-31.0,14.0,24.7,2026,12,July
2026-07-12,Stakeholder Mgmt,176,6.4,0.0,-18.4,10.4,33.1,2026,12,July
2026-07-12,System Design,25,0.9,0.0,11.2,3.5,34.6,2026,12,July
2026-07-12,Terraform,856,31.0,0.0,-23.8,16.3,33.3,2026,12,July
2026-07-12,TypeScript,28,1.0,1.0,25.7,13.2,74.6,2026,12,July
2026-07-12,Zero Trust,10,0.4,0.0,18.8,46.1,53.4,2026,12,July
2026-07-12,A/B Testing,279,3.6,23.0,54.3,3.3,69.7,2026,12,July
2026-07-12,Agile / Scrum,664,8.6,0.0,-5.1,12.4,43.4,2026,12,July
2026-07-12,AI Agents,403,5.2,,56.6,1.2,62.7,2026,12,July
2026-07-12,AI Coding Tools,124,1.6,,37.5,3.2,62.0,2026,12,July
2026-07-12,Airflow,86,1.1,31.0,-9.0,7.5,68.8,2026,12,July
2026-07-12,Amplitude,53,0.7,16.0,54.3,1.1,63.9,2026,12,July
2026-07-12,Angular,274,3.5,0.0,-23.4,16.1,41.9,2026,12,July
2026-07-12,Ansible,39,0.5,46.0,-36.9,19.6,73.9,2026,12,July
2026-07-12,Apache Iceberg,12,0.2,,,0.0,0.0,2026,12,July
2026-07-12,ArgoCD,16,0.2,20.0,,2.3,57.1,2026,12,July
2026-07-12,AWS,1584,20.4,1.0,-38.6,11.6,42.3,2026,12,July
2026-07-12,AWS Security,50,0.6,0.0,-40.5,9.9,30.7,2026,12,July
2026-07-12,Azure,676,8.7,1.0,-40.8,17.5,40.0,2026,12,July
2026-07-12,Bash,36,0.5,6.0,-40.7,11.1,52.7,2026,12,July
2026-07-12,BigQuery,52,0.7,50.0,37.2,0.0,62.2,2026,12,July
2026-07-12,C#,525,6.8,0.0,-45.6,10.2,25.6,2026,12,July
2026-07-12,C++,517,6.7,1.0,-40.1,8.3,36.2,2026,12,July
2026-07-12,Cassandra,97,1.2,54.0,,0.6,61.1,2026,12,July
2026-07-12,CI/CD,739,9.5,1.0,-41.6,16.5,38.5,2026,12,July
